Id,Level,Assessment,Section,Title,RecommendedState,Mechanism,RegistryKey,RegistryValue,Notes
9.3.1,L1,Automated,9,"Ensure 'Windows Firewall: Public: Firewall state' is set to 'On (recommended)'","On (recommended)",Set-NetFirewallProfile,"HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","EnableFirewall","agreed"
9.3.2,L1,Automated,9,"Ensure 'Windows Firewall: Public: Inbound connections' is set to 'Block (default)'","Block (default)",Set-NetFirewallProfile,"HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","DefaultInboundAction","agreed"
9.3.3,L1,Automated,9,"Ensure 'Windows Firewall: Public: Settings: Display a notification' is set to 'No'","No",Set-NetFirewallProfile,"HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","DisableNotifications","agreed"
9.3.4,L1,Automated,9,"Ensure 'Windows Firewall: Public: Logging: Name' is set to '%SystemRoot%\System32\logfiles\firewall\publicfw.log'","%SystemRoot%\System32\logfiles\firewall\publicfw.log",Set-NetFirewallProfile,"HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\ Logging","LogFilePath","resolved:raw(real-space)"
9.3.5,L1,Automated,9,"Ensure 'Windows Firewall: Public: Logging: Size limit (KB)' is set to '16,384 KB or greater'","16,384 KB or greater",Set-NetFirewallProfile,"HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\ Logging","LogFileSize","resolved:raw(real-space)"
9.3.6,L1,Automated,9,"Ensure 'Windows Firewall: Public: Logging: Log dropped packets' is set to 'Yes'","Yes",Set-NetFirewallProfile,"HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging","LogDroppedPackets","agreed"
9.3.7,L1,Automated,9,"Ensure 'Windows Firewall: Public: Logging: Log successful connections' is set to 'Yes'","Yes",Set-NetFirewallProfile,"HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging","LogSuccessfulConnections","agreed"
17.1.1,L1,Automated,17,"Ensure 'Audit Credential Validation' is set to 'Success and Failure'","Success and Failure",auditpol (section 17),"","",""
17.2.1,L1,Automated,17,"Ensure 'Audit Application Group Management' is set to 'Success and Failure'","Success and Failure",auditpol (section 17),"","",""
17.2.2,L1,Automated,17,"Ensure 'Audit Security Group Management' is set to include 'Success'","Success",auditpol (section 17),"","",""
17.2.3,L1,Automated,17,"Ensure 'Audit User Account Management' is set to 'Success and Failure'","Success and Failure",auditpol (section 17),"","",""
17.3.1,L1,Automated,17,"Ensure 'Audit PNP Activity' is set to include 'Success'","Success",auditpol (section 17),"","",""
17.3.2,L1,Automated,17,"Ensure 'Audit Process Creation' is set to include 'Success'","Success",auditpol (section 17),"","",""
17.5.1,L1,Automated,17,"Ensure 'Audit Account Lockout' is set to include 'Failure'","Failure",auditpol (section 17),"","",""
17.5.2,L1,Automated,17,"Ensure 'Audit Group Membership' is set to include 'Success'","Success",auditpol (section 17),"","",""
17.5.3,L1,Automated,17,"Ensure 'Audit Logoff' is set to include 'Success'","Success",auditpol (section 17),"","",""
17.5.4,L1,Automated,17,"Ensure 'Audit Logon' is set to 'Success and Failure'","Success and Failure",auditpol (section 17),"","",""
17.5.5,L1,Automated,17,"Ensure 'Audit Other Logon/Logoff Events' is set to 'Success and Failure'","Success and Failure",auditpol (section 17),"","",""
17.5.6,L1,Automated,17,"Ensure 'Audit Special Logon' is set to include 'Success'","Success",auditpol (section 17),"","",""
17.6.1,L1,Automated,17,"Ensure 'Audit Detailed File Share' is set to include 'Failure'","Failure",auditpol (section 17),"","",""
17.6.2,L1,Automated,17,"Ensure 'Audit File Share' is set to 'Success and Failure'","Success and Failure",auditpol (section 17),"","",""
17.6.3,L1,Automated,17,"Ensure 'Audit Other Object Access Events' is set to 'Success and Failure'","Success and Failure",auditpol (section 17),"","",""
17.6.4,L1,Automated,17,"Ensure 'Audit Removable Storage' is set to 'Success and Failure'","Success and Failure",auditpol (section 17),"","",""
17.7.1,L1,Automated,17,"Ensure 'Audit Audit Policy Change' is set to include 'Success'","include: Success",auditpol (section 17),"","",""
17.7.2,L1,Automated,17,"Ensure 'Audit Authentication Policy Change' is set to include 'Success'","Success",auditpol (section 17),"","",""
17.7.3,L1,Automated,17,"Ensure 'Audit Authorization Policy Change' is set to include 'Success'","Success",auditpol (section 17),"","",""
17.7.4,L1,Automated,17,"Ensure 'Audit MPSSVC Rule-Level Policy Change' is set to 'Success and Failure'","Success and Failure",auditpol (section 17),"","",""
17.7.5,L1,Automated,17,"Ensure 'Audit Other Policy Change Events' is set to include 'Failure'","Failure",auditpol (section 17),"","",""
